age,workclass,educational-num,marital-status,occupation,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,Private,7,Never-married,Machine-op-inspct,Male,0,0,40,Canada&USA,<=50K
38,Private,9,Married,Farming-fishing,Male,0,0,50,Canada&USA,<=50K
28,Local-gov,12,Married,Protective-serv,Male,0,0,40,Canada&USA,>50K
44,Private,10,Married,Machine-op-inspct,Male,7688,0,40,Canada&USA,>50K
34,Private,6,Never-married,Other-service,Male,0,0,30,Canada&USA,<=50K
63,Self-emp-not-inc,15,Married,Prof-specialty,Male,3103,0,32,Canada&USA,>50K
24,Private,10,Never-married,Other-service,Female,0,0,40,Canada&USA,<=50K
55,Private,4,Married,Craft-repair,Male,0,0,10,Canada&USA,<=50K
65,Private,9,Married,Machine-op-inspct,Male,6418,0,40,Canada&USA,>50K
36,Federal-gov,13,Married,Adm-clerical,Male,0,0,40,Canada&USA,<=50K
26,Private,9,Never-married,Adm-clerical,Female,0,0,39,Canada&USA,<=50K
48,Private,9,Married,Machine-op-inspct,Male,3103,0,48,Canada&USA,>50K
43,Private,14,Married,Exec-managerial,Male,0,0,50,Canada&USA,>50K
20,State-gov,10,Never-married,Other-service,Male,0,0,25,Canada&USA,<=50K
43,Private,9,Married,Adm-clerical,Female,0,0,30,Canada&USA,<=50K
37,Private,9,Widowed,Machine-op-inspct,Female,0,0,20,Canada&USA,<=50K
34,Private,13,Married,Tech-support,Male,0,0,47,Canada&USA,>50K
34,Private,10,Never-married,Other-service,Female,0,0,35,Canada&USA,<=50K
25,Private,13,Never-married,Prof-specialty,Male,0,0,43,Center & South America,<=50K
25,Private,13,Married,Prof-specialty,Male,0,0,40,Canada&USA,<=50K
45,Self-emp-not-inc,9,Married,Craft-repair,Male,7298,0,90,Canada&USA,>50K
22,Private,9,Never-married,Adm-clerical,Male,0,0,20,Canada&USA,<=50K
23,Private,9,Separated,Machine-op-inspct,Male,0,0,54,Canada&USA,<=50K
54,Private,9,Married,Craft-repair,Male,0,0,35,Canada&USA,<=50K
32,Self-emp-not-inc,10,Never-married,Prof-specialty,Male,0,0,60,Canada&USA,<=50K
46,State-gov,10,Married,Exec-managerial,Male,7688,0,38,Canada&USA,>50K
56,Self-emp-not-inc,7,Widowed,Other-service,Female,0,0,50,Canada&USA,<=50K
24,Self-emp-not-inc,13,Never-married,Sales,Male,0,0,50,Canada&USA,<=50K
23,Local-gov,10,Married,Protective-serv,Male,0,0,40,Canada&USA,<=50K
26,Private,9,Divorced,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
36,Local-gov,13,Married,Prof-specialty,Male,0,0,40,Canada&USA,>50K
22,Private,3,Never-married,Priv-house-serv,Male,0,0,50,Center & South America,<=50K
17,Private,6,Never-married,Machine-op-inspct,Male,0,0,40,Canada&USA,<=50K
20,Private,9,Never-married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
65,Private,14,Married,Prof-specialty,Male,0,0,50,Canada&USA,>50K
44,Self-emp-inc,11,Married,Sales,Male,0,0,45,Canada&USA,>50K
36,Private,9,Married,Farming-fishing,Male,0,0,40,Canada&USA,<=50K
29,Private,7,Married,Other-service,Male,0,0,40,Canada&USA,<=50K
20,State-gov,10,Never-married,Farming-fishing,Male,0,0,32,Canada&USA,<=50K
28,Private,11,Married,Prof-specialty,Female,0,0,36,Canada&USA,>50K
39,Private,4,Married,Craft-repair,Male,0,0,40,Center & South America,<=50K
54,Private,10,Married,Transport-moving,Male,3908,0,50,Canada&USA,<=50K
52,Private,7,Separated,Priv-house-serv,Female,0,0,18,Canada&USA,<=50K
56,Self-emp-inc,9,Widowed,Exec-managerial,Female,0,0,50,Canada&USA,<=50K
18,Private,10,Never-married,Other-service,Male,0,0,20,Canada&USA,<=50K
39,Private,9,Divorced,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
21,Private,10,Never-married,Other-service,Female,0,1721,24,Canada&USA,<=50K
22,Private,9,Never-married,Other-service,Male,14084,0,60,Canada&USA,>50K
38,Private,5,Married,Exec-managerial,Male,0,0,54,Center & South America,<=50K
21,Private,10,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
